Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance,Professional and business services,Educational,Arts,Other services,Government
94325,160,0,1939,275162,1584,3193,92,1,49,2030,1094,7517,81,2663
2473,54705,33987,10292,568596,50,57,2015,301,4060,1341,457,1163,454,18612
4168,3563,2191,2192,55702,4641,10797,5912,4326,68779,9216,25255,10772,3593,29092
2657,5770,3257,154,14645,1491,3000,4502,2699,125430,1858,2887,2330,3353,67644
83010,48039,23886,269116,1948788,42100,53835,182284,102113,52529,146138,182905,142084,50845,383791
24367,7729,4214,45363,286372,39730,26436,34180,26605,13307,24492,37515,23004,8580,46384
185,210,305,77143,12983,765,7369,5196,418,6303,2466,1730,7389,4995,596
12661,12321,14884,19355,147606,61656,69156,105987,18489,24931,46749,24495,14748,5512,65677
453,973,1025,4177,24178,15933,19604,5111,225790,53703,69226,28993,9577,8223,76332
19250,17337,8346,30172,83235,97777,151892,69952,69692,815346,230589,317400,94461,75651,137787
5351,37507,13926,44182,414385,191284,166368,58895,151424,401060,507621,248020,137186,38875,268699
431,0,97,18,65,965,7053,60,820,38,726,24929,1936,2213,32838
512,982,1879,2277,21147,8474,6273,3012,34270,41939,62648,31806,27913,3565,34370
1041,732,525,4804,16656,17681,12132,4803,10725,29521,31065,35959,11781,6252,27677
43,6,336,26,5464,10036,6693,13035,2427,14963,8685,7037,6374,1672,9392
